Fe: A Traumatized Son’s Graphic Memoir,Bren Bataclan,4.53 avg rating — 70 ratings,False,
"Fear Agent: Library Edition, Vol. 1",Rick Remender|(Writer),4.32 avg rating — 770 ratings,False,
Fell,Warren Ellis,"4.15 avg rating — 7,594 ratings",False,
"Fence, Vol. 1",C.S. Pacat,"3.92 avg rating — 28,387 ratings",False,
"Fence, Vol. 3",C.S. Pacat,"4.15 avg rating — 18,010 ratings",False,
"Fence, Vol. 4: Rivals",C.S. Pacat,"4.22 avg rating — 13,743 ratings",False,
"Fence, Vol. 5: Rise",C.S. Pacat,"4.24 avg rating — 5,307 ratings",False,
"Fence, Vol. 6: Redemption",C.S. Pacat,"4.40 avg rating — 2,352 ratings",False,
Fetch: How a Bad Dog Brought Me Home,Nicole J. Georges,"4.14 avg rating — 1,950 ratings",False,
"Fever Moon: The Fear Dorcha (Fever, #5.5)",Karen Marie Moning,"3.92 avg rating — 5,397 ratings",False,
Feynman,Jim Ottaviani,"3.81 avg rating — 6,942 ratings",False,
Fictional Father,Joe Ollmann,3.82 avg rating — 312 ratings,False,
Field Trip: A Graphic Novel (Mr. Wolf's Class #4) (4),Aron Nels Steinke,4.28 avg rating — 469 ratings,False,
Fight Club 2,Chuck Palahniuk,"3.04 avg rating — 9,176 ratings",False,
Fight Club 2 #1,Chuck Palahniuk,"3.68 avg rating — 1,927 ratings",False,
Fight Club 3,Chuck Palahniuk,2.85 avg rating — 855 ratings,False,
Fight Girls (1),Frank Cho,3.60 avg rating — 210 ratings,False,
Fights: One Boy's Triumph Over Violence,Joel Christian Gill,4.09 avg rating — 746 ratings,False,
"Finders Creepers (Half Past Peculiar, Book 1)",Derek Fridolfs,3.30 avg rating — 57 ratings,False,
Fine: A Comic About Gender,Rhea Ewing,"4.28 avg rating — 2,031 ratings",False,
Fire and Flight (ElfQuest #1),Wendy Pini|(Illustrator),"4.43 avg rating — 3,002 ratings",False,
"Fire Power by Kirkman & Samnee, Vol. 2: Home Fire",Robert Kirkman,4.04 avg rating — 585 ratings,False,
"Fire Power by Kirkman & Samnee, Volume 4",Robert Kirkman|(Writer),4.03 avg rating — 281 ratings,False,
First Born,Ron Marz,3.88 avg rating — 34 ratings,False,
FIRST HALF: Super Indy,Alex Letner,4.75 avg rating — 71 ratings,False,
First Knife,Simon     Roy,3.49 avg rating — 224 ratings,False,
Flamer,Mike Curato,"4.32 avg rating — 10,255 ratings",False,
Flashpoint,Geoff Johns|(Writer),"4.23 avg rating — 17,386 ratings",False,
Flavor Girls,Loïc Locatelli-Kournwsky,3.59 avg rating — 247 ratings,False,
Flex Mentallo: Man of Muscle Mystery,Grant Morrison,"4.08 avg rating — 3,491 ratings",False,
"Flight 714 to Sydney (Tintin, #22)",Hergé,"3.98 avg rating — 10,549 ratings",False,
Flung Out of Space: Inspired by the Indecent Adventures of Patricia Highsmith,Grace Ellis,"4.12 avg rating — 2,201 ratings",False,
Fly by Night,Tara O'Connor,"3.58 avg rating — 1,777 ratings",False,
Fly on the Wall,Remy Lai,3.90 avg rating — 792 ratings,False,
"Foiled (Foiled, #1)",Jane Yolen,"3.52 avg rating — 3,409 ratings",False,
Folklords,Matt Kindt,"3.50 avg rating — 1,140 ratings",False,
"Follow Me Down (Reckless, #5)",Ed Brubaker,"4.43 avg rating — 1,627 ratings",False,
Footnotes in Gaza,Joe Sacco,"4.34 avg rating — 6,395 ratings",False,
Forever Evil,Geoff Johns|(Writer),"4.01 avg rating — 3,934 ratings",False,
"Forget Me Nat (Nat Enough, #2)",Maria Scrivan,"4.02 avg rating — 2,197 ratings",False,
Fortune and Glory: A True Hollywood Comic Book Story,Brian Michael Bendis,3.88 avg rating — 677 ratings,False,
Four Faces of the Moon,Amanda   Strong,3.94 avg rating — 564 ratings,False,
Fox & Rabbit Celebrate (Fox  Rabbit Book #3),Beth Ferry,4.36 avg rating — 194 ratings,False,
"Frank Herbert's Dune: The Graphic Novel, Book 1",Brian Herbert|(Adaptor),"3.96 avg rating — 9,020 ratings",False,
Frank Miller's Complete Sin City Library,Frank Miller,"4.40 avg rating — 2,110 ratings",False,
Fray,Joss Whedon,"4.07 avg rating — 12,017 ratings",False,
"FreakAngels, Volume 1",Warren Ellis,"3.99 avg rating — 3,405 ratings",False,
"Freaking Romance Volume One (Freaking Romance, #1)",Snailords,"4.24 avg rating — 1,487 ratings",False,
"Freaking Romance Volume Two: A WEBTOON Unscrolled Graphic Novel (Freaking Romance, 2)",Snailords,4.29 avg rating — 943 ratings,False,
Freddie Mercury: Shadows Illuminated,Tres Dean,3.64 avg rating — 22 ratings,False,
French Milk,Lucy Knisley,"3.33 avg rating — 8,346 ratings",False,
Freshman Year,Sarah Mai,3.73 avg rating — 815 ratings,False,
"Friday, Book One: The First Day of Christmas",Ed Brubaker,"4.05 avg rating — 1,684 ratings",False,
"Friday, Book Two: On a Cold Winter's Night",Ed Brubaker,4.31 avg rating — 890 ratings,False,
"Friend of the Devil (Reckless, #2)",Ed Brubaker,"4.31 avg rating — 2,690 ratings",False,
Friends With Boys,Faith Erin Hicks,"3.83 avg rating — 15,537 ratings",False,
Fritz Leiber's Fafhrd and the Gray Mouser,Howard Chaykin|(Writer),"4.10 avg rating — 2,433 ratings",False,
From Hell,Alan             Moore,"4.19 avg rating — 41,950 ratings",False,
"Frontiersman, Vol. 1",Patrick Kindlon,3.47 avg rating — 97 ratings,False,
"Fruits Basket, Vol. 1",Natsuki Takaya,"4.28 avg rating — 196,745 ratings",False,
Full Tilt Boogie (1),Alex de Campi,3.63 avg rating — 68 ratings,False,
"Fullmetal Alchemist, Vol. 1",Hiromu Arakawa,"4.53 avg rating — 171,399 ratings",False,
Fun Home: A Family Tragicomic,Alison Bechdel,"4.08 avg rating — 185,901 ratings",False,
Fungirl,Elizabeth Pich,3.83 avg rating — 832 ratings,False,
Funny Misshapen Body,Jeffrey Brown,"3.94 avg rating — 1,709 ratings",False,
Further Grickle,Graham  Annable,3.76 avg rating — 67 ratings,False,
"Future Diary, Volume 01 (Future Diary, #1)",Sakae Esuno,"4.15 avg rating — 7,252 ratings",False,
G.I. Joe vs. The Transformers Volume 1,Josh Blaylock,3.66 avg rating — 67 ratings,False,
Galaxy: The Prettiest Star,Jadzia Axelrod,"4.09 avg rating — 2,121 ratings",False,
Ganges #1,Kevin Huizenga,4.19 avg rating — 232 ratings,False,
"Garfield at Large: His First Book (Garfield, #1)",Jim Davis,"4.15 avg rating — 6,608 ratings",False,
Garfield: His 9 Lives,Jim Davis,4.09 avg rating — 551 ratings,False,
Garlic and the Vampire,Bree Paulsen,"4.30 avg rating — 16,347 ratings",False,
Garvey's Choice: The Graphic Novel,Nikki Grimes,4.07 avg rating — 279 ratings,False,
Gaytheist: Coming Out of My Orthodox Childhood,Lonnie Mann,4.11 avg rating — 388 ratings,False,
Geeky Fab 5 Vol. 5: Smoky Mountain Science Squad (5) (Geeky Fab Five),Liz Lareau,3.43 avg rating — 7 ratings,False,
Gender Queer,Maia Kobabe,"4.28 avg rating — 65,561 ratings",False,
"Genshiken: The Society for the Study of Modern Visual Culture, Vol. 1",Shimoku Kio,"3.82 avg rating — 1,957 ratings",False,
Gentleman Jim,Raymond Briggs,3.68 avg rating — 489 ratings,False,
"George Sprott, 1894-1975",Seth,"4.10 avg rating — 1,069 ratings",False,
George Washington: Soldier and Statesman!,Mark Shulman,3.63 avg rating — 27 ratings,False,
georgia o'keefe,María Herreros,3.94 avg rating — 262 ratings,False,
Geronimo Stilton Reporter #7: Going Down to Chinatown (7) (Geronimo Stilton Reporter Graphic Novels),Geronimo Stilton,4.26 avg rating — 76 ratings,False,
Geronimo Stilton Reporter #8: Hypno Tick-Tock (8) (Geronimo Stilton Reporter Graphic Novels),Geronimo Stilton,4.12 avg rating — 64 ratings,False,
Gert and the Sacred Stones,Marco Rocchi,3.90 avg rating — 230 ratings,False,
Get a Life,Philippe Dupuy,3.66 avg rating — 242 ratings,False,
"Ghost in the Shell (Ghost in the Shell, #1)",Masamune Shirow,"4.16 avg rating — 12,893 ratings",False,
Ghost Roast,Shawnelle Gibbs,"4.13 avg rating — 1,879 ratings",False,
Ghost World,Daniel Clowes,"3.82 avg rating — 76,653 ratings",False,
Ghosted,Michael Fry,3.90 avg rating — 146 ratings,False,
"Ghosted in L.A., Vol. 1",Sina Grace,"3.54 avg rating — 1,704 ratings",False,
Ghostopolis,Doug TenNapel,"4.05 avg rating — 13,723 ratings",False,
Ghosts,Raina Telgemeier,"4.22 avg rating — 145,997 ratings",False,
"Giant Days, Vol. 1 (Giant Days, #1)",John Allison,"3.93 avg rating — 24,680 ratings",False,
"Giant Days, Vol. 12 (Giant Days, #12)",John Allison,"4.13 avg rating — 2,706 ratings",False,
"Giant Days, Vol. 13 (Giant Days, #13)",John Allison,"4.29 avg rating — 2,326 ratings",False,
"Giant Days, Vol. 14 (Giant Days, #14)",John Allison,"4.09 avg rating — 2,121 ratings",False,
"Gideon Falls, Vol. 1: The Black Barn",Jeff Lemire,"4.15 avg rating — 8,229 ratings",False,
Gina: The Girl Who Broke the World (Hilo #7),Judd Winick,4.48 avg rating — 828 ratings,False,
Girl Haven,Lilah Sturges,"3.90 avg rating — 1,963 ratings",False,
Girl Juice,Benji Nate,"3.94 avg rating — 1,735 ratings",False,
Girl Taking Over: A Lois Lane Story,Sarah Kuhn,3.83 avg rating — 453 ratings,False,
Girls: The Complete Collection Deluxe,Joshua Luna,3.56 avg rating — 953 ratings,False,
"Girls' Last Tour, Vol. 1 (Girls' Last Tour, #1)",Tsukumizu,"3.98 avg rating — 1,636 ratings",False,
Girlsplaining,Katja Klengel,3.75 avg rating — 866 ratings,False,
Glass Town,Isabel Greenberg,"3.86 avg rating — 3,528 ratings",False,
Global Frequency,Warren Ellis,"3.99 avg rating — 1,234 ratings",False,
"Global Frequency, Vol. 1: Planet Ablaze",Warren Ellis|(Writer),"3.97 avg rating — 2,826 ratings",False,
"GloomCookie (GloomCookie, #1)",Serena Valentino,"3.94 avg rating — 1,404 ratings",False,
Glork Patrol on the Bad Planet,James Kochalka,3.59 avg rating — 73 ratings,False,
Go to Sleep (I Miss You): Cartoons from the Fog of New Parenthood,Lucy Knisley,"4.08 avg rating — 2,426 ratings",False,
Go with the Flow,Lily Williams,"4.36 avg rating — 7,770 ratings",False,
Goblin,Eric Grissom,3.86 avg rating — 460 ratings,False,
Goddamn This War!,Jacques Tardi,4.14 avg rating — 925 ratings,False,
Gods' Man: A Novel in Woodcuts,Lynd Ward,4.19 avg rating — 984 ratings,False,
GoGo Monster,Taiyo Matsumoto,"4.01 avg rating — 1,138 ratings",False,
Golden Rage Vol. 1,Chrissy Williams,3.29 avg rating — 288 ratings,False,
Goldfish,Brian Michael Bendis,3.53 avg rating — 719 ratings,False,
Goldie Vance: The Hocus-Pocus Hoax,Lilliam Rivera,3.69 avg rating — 67 ratings,False,
Goldilocks: Wanted Dead or Alive,Chris Colfer,"4.16 avg rating — 1,821 ratings",False,
Goldjunge - Beethovens Jugendjahre,Mikaël Ross,3.77 avg rating — 289 ratings,False,
Goliath,Tom Gauld,"3.94 avg rating — 5,389 ratings",False,
Good-Bye,Yoshihiro Tatsumi,"3.99 avg rating — 1,865 ratings",False,
"Good-bye Stacey, Good-bye: A Graphic Novel (The Baby-Sitters Club Graphic Novels #11)",Gabriela  Epstein|(Illustrator),"4.28 avg rating — 4,394 ratings",False,
"Good-Bye, Chunky Rice",Craig Thompson,"3.79 avg rating — 8,225 ratings",False,
Goodbye: A Story of Suicide,Hailee Joy Lamberth,3.02 avg rating — 55 ratings,False,
"Goodnight Punpun Omnibus, Vol. 1",Inio Asano,"4.27 avg rating — 16,694 ratings",False,
"Goodnight, Irene",Carol Lay,4.08 avg rating — 48 ratings,False,
"Gotham Central, Vol. 1: In the Line of Duty",Greg Rucka,"4.27 avg rating — 10,239 ratings",False,
Gotham High,Melissa de la Cruz,"3.18 avg rating — 2,319 ratings",False,
"Grand Slam Romance: Major League Hotties (Grand Slam Romance, #2)",Ollie Hicks,4.30 avg rating — 122 ratings,False,
Grandville (Grandville #1),Bryan Talbot,"3.83 avg rating — 1,934 ratings",False,
Grasse Carcasse (Blast #1),Manu Larcenet,"4.25 avg rating — 2,212 ratings",False,
Grease Monkey,Tim Eldred,3.98 avg rating — 245 ratings,False,
"Green Arrow, Vol. 1: Quiver",Kevin Smith,"4.06 avg rating — 5,826 ratings",False,
Green Arrow: Year One,Andy Diggle,"4.06 avg rating — 7,186 ratings",False,
Green Lantern: Legacy,Minh Lê,"4.08 avg rating — 1,491 ratings",False,
Green Lantern: Rebirth,Geoff Johns|(Writer),"4.12 avg rating — 10,638 ratings",False,
Green River Killer: A True Detective Story,Jeff Jensen|(Writer),"3.85 avg rating — 5,256 ratings",False,
Grendel Tales: Devils and Deaths,Darko Macan,4.25 avg rating — 251 ratings,False,
Grendel: War Child,Matt Wagner|(Writer / Inker),3.98 avg rating — 418 ratings,False,
Grimm Fairy Tales Vol. 1,Ralph Tedesco,"3.58 avg rating — 1,762 ratings",False,
Grimoire Noir,Vera Greentea,"3.82 avg rating — 3,999 ratings",False,
Grip,Lale Westvind,4.12 avg rating — 190 ratings,False,
Griz Grobus,Simon     Roy,3.92 avg rating — 136 ratings,False,
Groo Meets Tarzan,Mark Evanier,3.43 avg rating — 74 ratings,False,
Growing Pangs,Kathryn Ormsbee,"4.05 avg rating — 1,642 ratings",False,
Guantanamo Voices: True Accounts from the World’s Most Infamous Prison,Sarah Mirk,"4.52 avg rating — 1,059 ratings",False,
Guerilla Green,Ophelie Damble,4.03 avg rating — 395 ratings,False,
"Gunnerkrigg Court, Volume 1: Orientation (Gunnerkrigg Court #1)",Thomas Siddell,"4.22 avg rating — 5,717 ratings",False,
Gus & His Gang,Christophe Blain,4.05 avg rating — 247 ratings,False,
H.G. Wells' The Island of Dr. Moreau,Ted Adams,3.63 avg rating — 153 ratings,False,
Habibi,Craig Thompson,"4.03 avg rating — 42,182 ratings",False,
Hack/Slash Omnibus Volume 1,Tim Seeley,"3.87 avg rating — 2,262 ratings",False,
"Haikyu!!, Vol. 1",Haruichi Furudate,"4.56 avg rating — 56,821 ratings",False,
Halcyon,"Ron Regé, Jr",3.11 avg rating — 55 ratings,True,
HALESTORM: Hyde Manor,Halestorm,3.70 avg rating — 33 ratings,False,
"Hand Drawn Vancouver: Sketches of the City's Neighbourhoods, Buildings, and People",Emma  FitzGerald,4.37 avg rating — 68 ratings,False,
Happily Ever After & Everything In Between,Debbie Tung,"4.09 avg rating — 5,609 ratings",False,
Happy New Year,Sarantos,5.00 avg rating — 6 ratings,False,
Hard Boiled,Frank Miller|(Writer),"3.74 avg rating — 3,445 ratings",False,
Hark! A Vagrant,Kate Beaton,"4.21 avg rating — 24,674 ratings",False,
Harleen,Stjepan Šejić,"4.53 avg rating — 11,180 ratings",False,
"Harley Quinn, Vol. 1: Preludes and Knock-Knock Jokes",Karl Kesel,"4.00 avg rating — 3,447 ratings",False,
"Harley Quinn, Volume 3: Kiss Kiss Bang Stab",Amanda Conner|(Writer/Illustrator),"4.01 avg rating — 2,066 ratings",False,
Harley Quinn: Black + White + Red,Stjepan Šejić|(Illustrator),"3.71 avg rating — 1,022 ratings",False,
Harriet Tubman: Toward Freedom: The Center for Cartoon Studies Presents,Whit Taylor,3.90 avg rating — 133 ratings,False,
Harvennus,Ville Tietäväinen|(Illustrator),3.67 avg rating — 96 ratings,False,
Harvey Pekar's Cleveland,Harvey Pekar,"3.98 avg rating — 1,324 ratings",False,
Haunt You To The End,Ryan Cady,2.68 avg rating — 59 ratings,False,
Haunthology,"Jeremy Haun|(Author, Illustrator)",3.43 avg rating — 194 ratings,False,
Haven,Leonardo Ramirez,4.26 avg rating — 42 ratings,False,
"Hawaiian Dick, Volume 1: Byrd of Paradise",B. Clay Moore,3.53 avg rating — 243 ratings,False,
"Hawkeye, Volume 1: My Life as a Weapon",Matt Fraction,"4.15 avg rating — 52,337 ratings",False,
He Done Her Wrong,Milt Gross,3.70 avg rating — 212 ratings,False,
Head2Head: A Political Cartoon Graphic Novel,Bob Benjamin,3.44 avg rating — 18 ratings,False,
"Heartbreak Soup (Luba and Palomar, #1)",Gilbert Hernández,"4.36 avg rating — 2,283 ratings",False,
Heartless Prince,Angela De Vito,"3.24 avg rating — 1,838 ratings",False,
"Heartstopper: Volume Five (Heartstopper, #5)",Alice Oseman,"4.49 avg rating — 140,768 ratings",False,
"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,"4.60 avg rating — 397,966 ratings",False,
"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,"4.46 avg rating — 763,499 ratings",False,
"Heartstopper: Volume Six (Heartstopper, #6)",Alice Oseman,"4.57 avg rating — 1,289 ratings",False,
"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,"4.57 avg rating — 451,923 ratings",False,
"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,"4.53 avg rating — 518,152 ratings",False,
Heaven No Hell,Michael DeForge,4.25 avg rating — 954 ratings,False,
Heavy Liquid,Paul Pope,"3.75 avg rating — 1,818 ratings",False,
"Heavy Vinyl, Vol. 1: Riot on the Radio",Carly Usdin,"3.97 avg rating — 7,004 ratings",False,
Heck,Zander Cannon,4.07 avg rating — 456 ratings,False,
Hellblazer: Bloodlines,Garth Ennis,"4.25 avg rating — 2,259 ratings",False,
Hellblazer: Dangerous Habits,Garth Ennis,"4.30 avg rating — 10,600 ratings",False,
Hellblazer: Original Sins,Jamie Delano,"4.12 avg rating — 16,418 ratings",False,
Hellblazer: Setting Sun,Warren Ellis,"4.19 avg rating — 2,639 ratings",False,
Hellblazer: The Devil You Know,Jamie Delano,"4.05 avg rating — 3,699 ratings",False,
"Hellboy, Vol. 1: Seed of Destruction",Mike Mignola,"4.15 avg rating — 75,552 ratings",False,
"Hellboy: Library Edition, Vol. 1: Seed of Destruction and Wake the Devil",Mike Mignola,"4.43 avg rating — 4,177 ratings",False,
"Hellsing, Vol. 1 (Hellsing, #1)",Kohta Hirano,"4.26 avg rating — 30,872 ratings",False,
Here,Richard McGuire,"4.20 avg rating — 13,898 ratings",False,
Hey Princess,Mats Jonsson,3.52 avg rating — 418 ratings,False,
"Hey, Kiddo: How I Lost My Mother, Found My Father, and Dealt with Family Addiction",Jarrett J. Krosoczka,"4.15 avg rating — 33,867 ratings",False,
"Hey, Wait...",Jason,"4.06 avg rating — 4,272 ratings",False,
Hicksville,Dylan Horrocks,"3.94 avg rating — 2,182 ratings",False,
"Hidden Systems: Water, Electricity, the Internet, and the Secrets Behind the Systems We Use Every Day",Dan Nott,4.22 avg rating — 892 ratings,False,
Hidden: A Child's Story of the Holocaust,Loïc Dauvillier,"4.15 avg rating — 7,673 ratings",False,
"Highschool of the Dead, Band 1",Daisuke Sato,"3.90 avg rating — 4,251 ratings",False,
"Hilda and the Midnight Giant (Hilda, #2)",Luke Pearson,"4.31 avg rating — 6,288 ratings",False,
"Hildafolk (Hildafolk, #1)",Luke Pearson,"4.26 avg rating — 9,012 ratings",False,
Himawari House,Harmony Becker,"4.37 avg rating — 6,496 ratings",False,
History Comics: The National Parks: Preserving America's Wild Places,Falynn Koch,3.99 avg rating — 295 ratings,False,
"Hitman, Vol. 1: A Rage in Arkham",Garth Ennis,"3.76 avg rating — 1,425 ratings",False,
Hokusai: A Graphic Biography,Giuseppe Latanza,3.66 avg rating — 260 ratings,False,
"Home, Vol. 1",Julio  Anta,3.81 avg rating — 352 ratings,False,
"Homecoming (Mercy Thompson Graphic Novel, #0)",Patricia Briggs,"4.08 avg rating — 12,681 ratings",False,
Homestuck,Andrew Hussie,"4.56 avg rating — 2,251 ratings",False,
Honor Girl: A Graphic Memoir,Maggie Thrash,"3.78 avg rating — 10,740 ratings",False,
Hopeless Savages,Jen Van Meter,3.80 avg rating — 667 ratings,False,
Horse Trouble,Kristin Varner,3.91 avg rating — 311 ratings,False,
Hostage,Guy Delisle,"4.09 avg rating — 8,121 ratings",False,
House of M,Brian Michael Bendis|(Writer),"4.07 avg rating — 30,340 ratings",False,
"House of Mystery, Volume 1: Room and Boredom",Matthew Sturges|(Writer),"3.78 avg rating — 5,225 ratings",False,
"House of Whispers, Vol. 2: Ananse",Nalo Hopkinson,3.59 avg rating — 402 ratings,False,
House of X/Powers of X,Jonathan Hickman,"4.44 avg rating — 8,533 ratings",False,
House on Fire,Matt Battaglia,3.84 avg rating — 50 ratings,False,
Housecat Trouble (Housecat Trouble #1),Mason Dickerson,4.08 avg rating — 748 ratings,False,
How Mirka Got Her Sword,Barry  Deutsch,"3.74 avg rating — 7,549 ratings",False,
How the World Was: A California Childhood,Emmanuel Guibert,3.82 avg rating — 560 ratings,False,
How to Be Ace: A Memoir of Growing Up Asexual,Rebecca    Burgess,"4.15 avg rating — 3,598 ratings",False,
How To Be Happy,Eleanor Davis,"3.75 avg rating — 4,572 ratings",False,
How to Make a Monster,Casanova Frankenstein,3.53 avg rating — 49 ratings,False,
How To Pick A Fight,Lara Kaminoff,3.54 avg rating — 112 ratings,False,
Huda F Are You?,Huda Fahmy,"4.17 avg rating — 8,916 ratings",False,
Huda F Cares?,Huda Fahmy,"4.22 avg rating — 3,059 ratings",False,
Hulk: Gray,Jeph Loeb|(Contributor),"3.80 avg rating — 2,817 ratings",False,
Human Target: Strike Zones,Peter Milligan,3.81 avg rating — 152 ratings,False,
Hummingbird Heart,Travis Dandro,3.22 avg rating — 208 ratings,False,
Hungry Ghost,Victoria Ying,"4.01 avg rating — 4,511 ratings",False,
"Hunter x Hunter, Vol. 01 (Hunter x Hunter, #1)",Yoshihiro Togashi,"4.53 avg rating — 58,185 ratings",False,
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,"4.17 avg rating — 209,361 ratings",False,
"I Am ""Why Do I Need Venmo?"" Years Old: Adventures in Aging",Janine Annett,3.85 avg rating — 79 ratings,False,
"I Hate Fairyland, Vol. 1: Madly Ever After","Skottie Young|(Writer, Artist)","4.05 avg rating — 10,481 ratings",False,
I Hope This Helps: Comics and Cures for 21st Century Panic,Tommy Siegel,3.92 avg rating — 534 ratings,False,
I Kill Giants,Joe Kelly,"4.15 avg rating — 17,414 ratings",False,
I Killed Adolf Hitler,Jason,"3.93 avg rating — 6,023 ratings",False,
I Left The House Today!,Cassandra Calin,"4.03 avg rating — 3,854 ratings",False,
I Never Liked You: A Comic Strip Narrative,Chester Brown,"3.76 avg rating — 6,314 ratings",False,
"I Shall Destroy All the Civilized Planets! (The Complete Works of Fletcher Hanks, #1)",Fletcher Hanks,"4.04 avg rating — 1,040 ratings",False,
"I Survived the Attacks of September 11, 2001: The Graphic Novel (I Survived Graphic Novels #4)",Lauren Tarshis,"4.38 avg rating — 1,786 ratings",False,
"I Survived the Great Chicago Fire, 1871: The Graphic Novel (I Survived Graphic Novels #7)",Lauren Tarshis,4.21 avg rating — 721 ratings,False,
"I Survived the Nazi Invasion, 1944: The Graphic Novel (I Survived Graphic Novels #3)",Lauren Tarshis,"4.28 avg rating — 1,828 ratings",False,
I Survived the Shark Attacks of 1916: The Graphic Novel (I Survived Graphic Novels #2),Lauren Tarshis,"4.16 avg rating — 1,572 ratings",False,
"I Survived The Sinking of the Titanic, 1912: The Graphic Novel (I Survived Graphic Novels #1)",Lauren Tarshis,"4.17 avg rating — 2,657 ratings",False,
I Will Judge You by Your Bookshelf,Grant Snider,"3.74 avg rating — 19,682 ratings",False,
Ice Haven,Daniel Clowes,"3.93 avg rating — 7,253 ratings",False,
Idées noires : l'intégrale,André Franquin,"4.31 avg rating — 1,107 ratings",False,
Identity Crisis,Brad Meltzer,"4.05 avg rating — 21,708 ratings",False,
Il compleanno di Arho,Christina Olindo,4.75 avg rating — 4 ratings,False,
Illegal: A Graphic Novel,Eoin Colfer,"4.22 avg rating — 9,347 ratings",False,
"Imitation, Vol. 1 (Volume 1) (IMITATION, 1)",KyungRan Park,3.84 avg rating — 50 ratings,False,
"Imitation, Vol. 2 (Volume 2) (IMITATION, 2)",KyungRan Park,3.57 avg rating — 23 ratings,False,
Impossible People: A Completely Average Recovery Story,Julia Wertz,"4.35 avg rating — 1,399 ratings",False,
In Hell We Fight! Volume 1 (1),John Layman,3.78 avg rating — 27 ratings,False,
In Limbo,Deb J.J. Lee,"4.18 avg rating — 4,398 ratings",False,
In Love & Pajamas: A Collection of Comics about Being Yourself Together,Catana Chetwynd,"4.28 avg rating — 6,424 ratings",False,
In Real Life,Cory Doctorow,"3.81 avg rating — 38,779 ratings",False,
In The Flood,Ray Fawkes,2.58 avg rating — 226 ratings,False,
In the Shadow of No Towers,Art Spiegelman,"3.67 avg rating — 4,052 ratings",False,
"In the Shadow of the Fallen Towers: The Seconds, Minutes, Hours, Days, Weeks, Months, and Years after the 9/11 Attacks",Don  Brown,"4.10 avg rating — 1,306 ratings",False,
In Utero,Chris Gooch,3.76 avg rating — 737 ratings,False,
In.,Will McPhail,"4.38 avg rating — 5,429 ratings",False,
Incognegro,Mat Johnson,"4.00 avg rating — 3,341 ratings",False,
Incognito,Ed Brubaker,"3.99 avg rating — 4,724 ratings",False,
"Incredible Doom (Incredible Doom, 1)",Matthew Bogart,"3.91 avg rating — 1,588 ratings",False,
Inferno,Jonathan Hickman|(Writer),"4.26 avg rating — 1,128 ratings",False,
"Inferno Girl Red, Vol. 1",Mat Groom,3.63 avg rating — 155 ratings,False,
Infinite Crisis,Geoff Johns,"3.86 avg rating — 10,146 ratings",False,
"Injustice: Gods Among Us, Vol. 1",Tom    Taylor|(Writer),"4.32 avg rating — 6,661 ratings",False,
"Inkblot, Vol. 1",Emma Kubert,3.44 avg rating — 551 ratings,False,
"Inkblot, Vol. 2",Emma Kubert,3.57 avg rating — 126 ratings,False,
Inside the Mind of Sherlock Holmes,Cyril Liéron,"4.47 avg rating — 1,078 ratings",False,
Inspector Coke,Dino Bataglia,,False,
Interview with the Vampire: Claudia's Story,Ashley Marie Witter|(Adaptor/Illustrator),"4.41 avg rating — 20,351 ratings",False,
Into Radness,Kyle Strahm,3.06 avg rating — 31 ratings,False,
"InvestiGators (InvestiGators, #1)",John Patrick Green,"4.25 avg rating — 2,535 ratings",False,
"Invincible: Ultimate Collection, Vol. 1",Robert Kirkman,"4.31 avg rating — 10,427 ratings",False,
"Invisible Kingdom, Vol. 2: Edge of Everything",G. Willow Wilson,"3.72 avg rating — 1,165 ratings",False,
Invisible People,Will Eisner,4.00 avg rating — 495 ratings,False,
Irmina,Barbara Yelin,"4.17 avg rating — 1,978 ratings",False,
Is Man Good?,Mœbius,4.00 avg rating — 128 ratings,False,
Isla to Island,Alexis Castellanos,"4.22 avg rating — 2,454 ratings",False,
It Was The War Of The Trenches,Jacques Tardi,"4.22 avg rating — 2,482 ratings",False,
It Won't Always Be Like This,Malaka Gharib,"4.03 avg rating — 1,956 ratings",False,
It's a Bird...,Steven T. Seagle,"3.89 avg rating — 1,389 ratings",False,
"It's a Good Life, If You Don't Weaken: A Picture Novella",Seth,"3.77 avg rating — 6,829 ratings",False,
It's Her Story - Amelia Earhart - A Graphic Novel,Kim Moldofsky,3.65 avg rating — 26 ratings,False,
It's Her Story - Marie Curie - A Graphic Novel,Kaara Kallen,3.80 avg rating — 40 ratings,False,
It's Lonely at the Centre of the Earth,Zoe Thorogood,"4.21 avg rating — 7,921 ratings",False,
"Ivar, Timewalker, Vol. 1: Making History",Fred Van Lente|(Writer),3.72 avg rating — 601 ratings,False,
Jack Kirby: The Epic Life of the King of Comics,Tom Scioli,4.25 avg rating — 656 ratings,False,
"Jack Kirby's Fourth World Omnibus, Vol. 1",Jack Kirby|(Creator / Writer / Artist),"4.24 avg rating — 2,107 ratings",False,
